mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta2_0,delta2_1,delta2_2,delta2_3,delta2_4,delta2_5,delta2_6,delta2_7,delta2_8,delta2_9,delta2_10,delta2_11,delta2_12,delta2_std_0,delta2_std_1,delta2_std_2,delta2_std_3,delta2_std_4,delta2_std_5,delta2_std_6,delta2_std_7,delta2_std_8,delta2_std_9,delta2_std_10,delta2_std_11,delta2_std_12,contrast_0,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,contrast_std_0,contrast_std_1,contrast_std_2,contrast_std_3,contrast_std_4,contrast_std_5,contrast_std_6,zcr_mean,zcr_std,rms_mean,mel_mean_0,mel_mean_1,mel_mean_2,mel_mean_3,mel_mean_4,mel_mean_5,mel_mean_6,mel_mean_7,mel_mean_8,mel_mean_9,mel_mean_10,mel_mean_11,mel_mean_12,mel_mean_13,mel_mean_14,mel_mean_15,mel_mean_16,mel_mean_17,mel_mean_18,mel_mean_19,mel_mean_20,mel_mean_21,mel_mean_22,mel_mean_23,mel_mean_24,mel_mean_25,mel_mean_26,mel_mean_27,mel_mean_28,mel_mean_29,mel_mean_30,mel_mean_31,mel_mean_32,mel_mean_33,mel_mean_34,mel_mean_35,mel_mean_36,mel_mean_37,mel_mean_38,mel_mean_39,mel_std_0,mel_std_1,mel_std_2,mel_std_3,mel_std_4,mel_std_5,mel_std_6,mel_std_7,mel_std_8,mel_std_9,mel_std_10,mel_std_11,mel_std_12,mel_std_13,mel_std_14,mel_std_15,mel_std_16,mel_std_17,mel_std_18,mel_std_19,mel_std_20,mel_std_21,mel_std_22,mel_std_23,mel_std_24,mel_std_25,mel_std_26,mel_std_27,mel_std_28,mel_std_29,mel_std_30,mel_std_31,mel_std_32,mel_std_33,mel_std_34,mel_std_35,mel_std_36,mel_std_37,mel_std_38,mel_std_39,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,label,file_path
-295.26154,114.664276,23.884249,31.672272,-14.181585,-12.545695,-11.293991,-7.1474285,-9.290764,-8.854505,-3.675753,-3.053553,-2.126982,120.32485,48.35696,35.38132,34.27131,34.26289,18.863735,16.711428,12.809691,12.566054,13.672797,11.516456,6.592365,9.094812,14.421785,-0.14788839,-0.54948187,-1.012406,-1.4475825,-1.7867924,-1.7596729,-0.77625614,-0.99218243,-0.5157886,-0.5951092,-0.078838825,-0.023994237,-1.0955334,-0.7425092,-1.0505067,-0.2380566,-0.6717254,-0.06632921,0.28681323,-0.375156,0.061952427,0.19050965,0.7643821,0.29670966,0.40747,13.896826,6.410079,3.9302437,4.768368,3.9690237,2.4003792,2.0141864,1.9957498,1.4821988,1.7302157,2.1745486,0.82143945,1.5985774,17.99659439569927,14.251501333910522,19.71331583492899,17.531545398939762,16.83816980413706,18.829280576243374,25.096510824472045,5.255403669652102,5.851302739477148,5.493384821145692,5.162892160647913,2.8904063081273432,3.8995476785360625,6.9789388723647665,0.1121978759765625,0.08956856540609735,0.06639008224010468,-5.78007,-2.4547007,-1.1977137,-2.9980369,-3.488272,-2.5127888,-4.4452705,-9.0814,-12.677837,-15.545946,-18.724304,-20.760004,-22.311588,-24.128897,-25.51231,-28.24263,-29.44355,-29.616365,-30.03745,-31.029158,-30.072475,-28.206629,-27.746965,-30.091267,-30.627981,-28.556911,-27.753353,-30.821379,-33.51645,-32.48127,-31.57293,-33.680077,-35.156208,-35.602077,-37.84395,-41.071976,-41.613365,-40.92756,-38.545197,-40.931534,10.201054,11.52346,13.208329,14.492199,16.177315,17.106104,17.67487,18.581856,19.361864,20.011583,16.818354,17.840975,17.755112,18.059204,18.073864,17.574265,15.87578,13.546551,13.041218,11.827046,11.779748,12.7796755,14.1650095,13.756923,12.850042,13.508248,14.858921,15.04543,12.84,12.540025,13.157266,12.311544,11.53577,12.014207,12.567303,12.78283,12.340419,12.243429,12.168533,11.612715,0.41714406,0.36961433,0.46315354,0.45740122,0.3372187,0.33934516,0.3667155,0.46312806,0.53854537,0.3909881,0.33578882,0.44344342,wake,dataset\wake\Abdulhakim_Sanli_wake.wav
-302.46225,121.60435,22.022127,22.62956,-26.859207,-12.615648,-13.698725,-8.362688,-12.749216,-5.6359935,-5.5946684,-2.2155113,-3.4673965,105.77978,37.52308,40.877674,36.640705,32.810596,26.078104,13.242678,11.800483,12.161842,8.936265,9.328765,10.109685,8.002374,11.799784,-1.6353604,-0.46940264,-1.7887803,-2.2667327,-2.6608593,-1.6874976,-0.79617274,-0.60633564,-0.022393558,-0.31321523,0.68845344,0.077104226,-1.487804,0.25029334,-0.20153405,0.061601907,-0.47574455,0.030528903,-0.04766506,-0.012899846,0.24071372,0.37229216,0.42499942,0.039497465,0.33826995,8.851973,5.5509553,4.0800266,4.6418476,3.012774,2.427144,1.4584736,1.8703842,1.4482224,1.41012,1.0879327,1.5159528,1.0126796,19.3170298390561,17.864978671388336,21.132403298100343,20.07884619777018,18.055261538200636,20.431813567256413,46.31880482248895,4.34290944903769,5.158193482626662,3.9550035996105772,3.777641298569254,2.9192301037764317,3.4969778796566877,11.182887677444661,0.083648681640625,0.031697511162777345,0.04746807739138603,-9.784647,-6.3887396,-0.36131477,-3.0215712,-3.3546727,-2.3025646,-3.2070549,-5.215622,-10.188797,-12.508703,-15.271599,-18.640862,-20.601648,-22.068346,-24.048183,-25.58326,-27.740604,-30.444199,-31.047787,-31.023062,-31.392105,-32.384552,-30.900122,-29.272976,-30.517672,-32.89777,-31.526417,-29.058676,-29.767212,-33.98273,-35.2833,-33.72593,-34.36479,-37.076744,-37.934525,-38.13452,-41.62742,-43.865345,-43.226448,-43.69722,6.2718406,5.926782,7.84306,8.269014,10.83039,12.546577,13.056464,15.662272,17.268995,17.205519,17.781652,15.013883,15.253197,16.896038,17.283516,17.777237,17.698765,16.222485,13.319935,11.466009,10.783244,9.524972,10.377964,11.826835,13.104356,11.7196865,11.46061,12.425012,13.95203,12.96111,10.333875,11.888881,11.94712,10.380926,10.259458,10.915546,11.86784,11.91439,11.62103,10.72733,0.2753889,0.4457763,0.35973537,0.26926446,0.37890083,0.47838333,0.30917764,0.2802603,0.30537045,0.4614059,0.5709359,0.30228385,wake,dataset\wake\Abdulhakim_Sanli_wake.wav
-312.7403,123.89015,25.339079,31.08624,-16.857353,-16.800743,-14.722227,-6.976333,-9.40133,-7.158909,-3.7250047,-3.2463145,-0.3886341,107.426056,42.192375,36.539562,31.46781,32.39603,19.006325,19.152695,11.899579,11.648344,11.5611,11.844076,5.069977,10.57669,10.125931,1.1272023,-1.7140033,-0.74102116,-2.0009973,-2.2197275,-2.0235837,-0.6410757,-0.33225653,-0.2171435,0.08642072,-0.22456488,0.66073406,-3.6169286,-0.8451991,-0.6178292,0.009466499,0.2158702,0.6751741,0.5113573,-0.08235213,0.05786416,-0.02875325,0.41032064,0.13419417,0.09821232,9.968949,6.1544123,3.5552998,4.3633385,2.9193676,2.3070002,1.6874056,1.8792263,1.2083639,1.674609,1.800347,0.7469799,1.1371264,19.9168886297647,16.270120577494325,20.96301171963397,18.984368151395085,16.780972664553207,19.223237181138117,26.657172563461977,5.841959508233563,4.639902592744697,5.8228891631863595,3.81198074501326,2.4658871712164645,3.9344073605427194,6.360265902781242,0.0773468017578125,0.029918649010271664,0.05030398815870285,-6.1582437,-2.9762414,-2.0300317,-4.0173793,-4.0773916,-2.4576054,-3.4712186,-8.088989,-11.448584,-14.910549,-18.909344,-21.207394,-23.237837,-24.864988,-26.665386,-30.420116,-31.58192,-31.303963,-31.201355,-31.750015,-31.194992,-29.391941,-30.147438,-32.05543,-32.011528,-29.79353,-29.083405,-33.07201,-36.067593,-34.986053,-34.338604,-35.60154,-37.101807,-37.94593,-39.681194,-42.98707,-43.75157,-42.680313,-40.0259,-43.181587,7.8008432,8.177942,10.000522,11.420966,13.65576,14.694003,15.173704,16.370928,17.210653,18.372177,14.873954,16.542255,16.80561,16.928759,17.6577,16.859333,15.54495,12.59129,11.58854,10.118349,10.349544,11.322064,13.305937,13.050436,11.775664,12.053243,13.401301,13.962685,11.904375,11.747565,12.710452,11.129525,10.0061035,10.1798725,10.813304,11.360051,10.873122,10.51862,10.398209,9.950085,0.3377243,0.3511529,0.44681463,0.3721207,0.35338485,0.35140067,0.40552616,0.57436925,0.46885082,0.3039625,0.44941482,0.512045,wake,dataset\wake\Abdulhakim_Sanli_wake.wav
-640.43286,26.1786,7.9223337,19.71501,7.223734,-0.16475046,0.48212767,5.39525,3.5576293,-1.0857861,6.061492,0.26349643,1.3781409,173.00153,33.249603,7.859747,23.367151,5.425979,11.351849,9.538251,4.560344,4.209048,7.873294,7.6574717,3.8883927,3.3668673,19.670525,2.9409003,0.054348253,2.4298267,-0.18603095,-1.223422,-0.9522201,0.008243009,-0.19489343,-0.83712846,0.85445577,-0.27004853,0.25607377,-1.766151,-0.91673756,0.47349113,-0.34213167,-0.28942898,0.1987897,0.24597016,-0.12442587,-0.3065092,0.059724536,-0.18994927,-0.08293007,0.0066597834,13.3111315,3.5784879,1.3379607,1.8503494,0.84625244,1.0873013,1.1587411,0.56789416,0.71248335,0.5546198,0.8903077,0.2917767,0.45349565,18.04405814857947,13.496313888135521,15.160546556746104,14.051765584570942,14.678215911955773,15.311542078696071,14.650308468615638,6.768885992416403,4.692382201322425,4.274123374508778,2.2572692640212138,2.4056477735858275,3.4545562829149863,2.704541895703165,0.17498779296875,0.05962191363609874,0.006306408904492855,-43.76783,-43.974586,-49.16178,-52.34281,-53.46482,-54.874935,-54.814625,-55.079475,-56.01805,-58.286354,-59.7584,-60.86961,-61.367416,-62.14762,-61.50916,-62.40843,-61.919014,-62.0889,-62.071148,-60.910538,-59.87043,-58.907623,-59.02293,-59.101738,-59.17748,-59.94438,-61.228657,-61.61831,-61.417652,-62.439335,-62.279766,-60.758537,-61.031967,-62.206635,-63.93204,-64.71228,-64.68837,-64.71827,-63.884773,-63.037354,23.358381,25.412336,23.670551,22.572466,24.444408,24.025524,24.675856,24.743763,22.899612,19.006975,17.090145,16.642693,16.187283,15.236674,16.048742,14.9734335,15.933821,15.442057,15.703178,17.533266,19.018332,20.879467,20.914944,20.785025,20.60654,19.21023,17.31441,16.916864,17.186165,15.032316,15.684953,18.787764,17.894085,15.742311,12.682401,11.178391,11.037061,11.316776,12.634653,14.338359,0.65289366,0.4887917,0.5567301,0.6182016,0.6246728,0.69492114,0.71789336,0.70321745,0.6406606,0.6510325,0.74939394,0.8632353,wake,dataset\wake\Abdulsamet_Kir_wake_1.wav
-690.2348,35.412277,12.732025,25.746737,2.5812988,-0.35674047,0.84260076,9.316943,-0.2521186,4.147486,4.2839684,-1.1646366,-0.47743046,187.10777,30.988033,7.5037684,24.805641,11.902829,12.307588,10.769892,6.6389275,8.352845,2.9754825,5.600748,3.709211,2.7383912,19.233068,1.6276454,-0.18021113,2.2322495,-1.35566,-1.0321149,-1.1650422,0.40418887,-0.88544405,0.30167893,0.42556375,-0.0811983,0.016670642,-2.2000387,-0.27966332,0.6851648,-0.16892596,0.030510418,0.1343336,0.2638642,-0.0056429952,-0.0055239685,-0.12178981,-0.37066808,-0.091914244,-0.19451207,13.289183,2.584006,1.6841338,1.4960735,0.78474855,0.8204898,1.297218,0.56023365,0.36600524,0.4506482,0.96791714,0.40820715,0.5214227,20.30509320629375,14.196912937090527,15.871255714041277,15.744694772005007,16.00834775126416,16.662187331036733,48.55524805099377,5.934036882196894,4.130172588059259,4.7699866915779365,2.4957936506851537,2.6217924049645394,3.2768011461692255,9.686460145065617,0.1807403564453125,0.07024561661307549,0.0037216399796307087,-45.60988,-45.73733,-50.581223,-54.515602,-55.195396,-56.09113,-56.26627,-57.168476,-56.206024,-57.479637,-60.420124,-62.474163,-63.622757,-64.604706,-65.93901,-65.23744,-65.74527,-66.05197,-65.63556,-65.706314,-64.121475,-63.364044,-62.614067,-62.00376,-62.504684,-62.604088,-62.86715,-64.3883,-65.77341,-65.195206,-65.340256,-67.408295,-65.02059,-64.47904,-65.66097,-66.97609,-69.18545,-69.45001,-69.02054,-69.93552,20.662142,25.327446,22.568907,22.082869,23.42707,24.432753,25.773376,25.5636,25.931257,24.162243,18.271267,16.930822,17.117304,16.055521,15.575057,15.952493,15.732126,15.564277,16.277208,15.884451,17.694475,18.951946,21.21996,22.327478,21.916893,21.807722,21.088724,18.901787,17.391144,18.156143,17.9792,14.169455,18.948841,19.793398,17.58069,15.744263,12.149415,11.220569,11.993098,10.541914,0.63938916,0.7812533,0.51163787,0.43255308,0.47630897,0.557429,0.61367166,0.6816645,0.6998237,0.69541734,0.61782545,0.5291585,wake,dataset\wake\Abdulsamet_Kir_wake_1.wav
-646.3043,37.23742,11.9563465,28.824337,9.46449,-1.3316052,-1.9260107,5.209523,4.8520737,-1.4261212,7.544758,-0.20605293,2.3954082,186.42793,32.474995,7.207809,25.522644,5.2323165,13.21873,12.045533,3.8345509,3.3222752,7.714673,7.990699,5.357267,2.9740224,12.767885,1.4521122,0.37061453,1.6892014,0.09274042,-0.40273118,-0.61117053,-0.1132852,-0.05817256,-0.36368692,0.3032079,-0.4817316,0.12280853,-2.3388755,0.3192657,0.19439812,-0.10467714,0.30016893,0.38921493,0.25663546,0.07431229,0.18912332,0.29930747,-0.15451819,0.04931524,0.032640215,11.661414,2.6562617,1.0020229,1.4093233,0.96302485,1.1932526,0.93041664,0.52333516,0.66418654,0.79927653,0.71185887,0.50444907,0.34065276,21.155527524539394,14.399842665128705,16.664759506686835,13.904160209622763,14.855838578812017,16.04768659432081,15.566224769757252,7.473444438747544,5.1561895541281215,5.834776485744008,3.057341728963879,3.281297585434514,4.583128428309419,4.051722636662608,0.16876220703125,0.07959768338588379,0.005383845418691635,-39.369583,-39.913273,-46.177902,-49.95211,-49.94628,-51.50171,-51.128662,-51.864845,-53.524086,-56.82736,-58.7286,-60.74244,-61.196213,-62.87484,-61.867874,-62.860706,-62.381157,-62.24962,-61.641434,-59.587265,-58.98105,-58.210022,-58.36189,-58.76217,-58.687687,-59.845665,-61.548504,-61.831608,-61.2968,-62.85757,-63.41888,-60.9477,-61.24339,-63.135357,-65.69675,-66.60838,-67.03107,-66.851944,-65.647545,-64.36881,24.783587,27.342598,24.59473,22.925882,25.85574,26.117596,26.546698,25.826538,23.527462,19.268732,17.761929,16.932716,17.012331,15.212578,17.117199,15.891468,17.202126,17.032206,17.135933,19.206755,20.790033,22.588848,22.781172,22.44874,22.247963,20.637669,19.329113,19.11147,19.401508,17.362503,17.079319,20.787733,20.423183,17.648287,14.489882,13.051561,12.141991,12.704338,14.073246,16.241156,0.5990267,0.41234985,0.5207427,0.56760406,0.49771369,0.55977327,0.61461055,0.63689613,0.5660605,0.5773552,0.7061827,0.86864793,wake,dataset\wake\Abdulsamet_Kir_wake_1.wav
-676.3034,39.157486,-2.270728,16.177425,2.0418267,-3.5316577,-1.6803205,1.9146643,-2.634649,-1.237062,-1.1696906,-0.23361132,-3.8450692,173.21153,28.89174,14.7053585,23.024986,4.3846507,14.036659,4.3485794,4.0558825,6.357826,4.593128,3.4747279,3.292562,4.537453,20.677803,3.0706162,-1.2315316,2.8513646,-0.22613029,-1.5145853,-0.23582217,0.040657606,-0.6586538,-0.5282465,-0.23693152,-0.07466267,-0.403723,1.1773677,-0.07787372,0.5261018,0.3235157,-0.21487644,0.015703294,0.043473847,-0.23519182,-0.052642375,0.08346999,-0.059891306,0.15154108,0.1326198,7.6092033,1.7295477,2.1355689,1.1430442,0.5218326,0.94156134,0.40336612,0.6728254,0.64097214,0.52425337,0.4808992,0.54079086,0.45047367,17.82494552471468,11.434126082858038,14.017646969276658,13.850287248921497,14.30819082003703,15.127013641331622,14.423375572644506,6.433482158924762,3.032492840408961,4.400639873935165,2.5446347735250447,2.1084552884815646,2.7055529112630166,1.4575189068525587,0.212554931640625,0.051322029120483226,0.002146643353626132,-51.10406,-50.69788,-52.758915,-53.234665,-54.35435,-54.768345,-54.448578,-56.287827,-56.385258,-57.799984,-57.24599,-58.684338,-59.266304,-59.81939,-60.065193,-59.88527,-59.081963,-60.049515,-60.45414,-59.947968,-59.212288,-58.376026,-58.522438,-58.686222,-59.08254,-59.48858,-60.645996,-61.892887,-62.089542,-61.45063,-63.341145,-64.21926,-64.2771,-65.05342,-64.92772,-64.919525,-65.252785,-66.85339,-66.75619,-66.971375,21.36973,23.351458,22.396753,22.416271,21.822672,21.100945,21.177582,20.161171,19.761347,17.44555,18.834908,16.416348,16.904797,16.040651,16.402866,15.291306,15.523838,15.0456505,15.735048,16.122202,17.405172,18.888746,20.722948,20.419724,19.904837,19.923405,18.313961,16.43028,15.872202,16.329294,15.108763,12.836923,12.427868,11.066747,11.932538,12.372459,11.330708,8.946546,9.30648,9.86747,0.76147145,0.7224939,0.6603379,0.69918597,0.701142,0.68424827,0.7070344,0.72730786,0.73214984,0.72452164,0.7313786,0.76648813,wake,dataset\wake\Abdurrahman_Saracoglu_Wake_1.wav
-706.191,38.957115,-3.289816,17.912218,-4.7522197,-4.1418214,-1.6658001,1.5889208,-6.658861,-0.03602633,-1.8274531,-0.7963773,-4.198781,171.76614,27.4467,12.640032,22.91991,13.472277,12.422381,3.8384993,4.941529,9.627934,3.585393,4.201356,4.2549777,6.5934815,20.39561,2.9229965,-0.9572207,2.716619,-1.5304191,-1.0501219,-0.077404566,-0.2740969,-1.1362832,-0.16661356,-0.31078064,-0.26043093,-0.5425705,0.20256686,-0.21754903,0.4283395,-0.029366247,-0.10962592,0.23104195,-0.16741201,-0.2528834,0.12542962,-0.04458796,0.07146403,0.0452988,0.2866121,7.9949465,1.8811139,1.6253166,1.1906095,0.57611454,1.0506808,0.5040729,0.7687542,0.8119769,0.46694797,0.42013308,0.40438995,0.88811225,19.56835643763617,12.340637251268369,14.44354339179949,15.412501783168242,15.681659101026277,15.955702668522303,50.02975440100289,7.311480022662258,3.781830613567516,3.2452580384586063,3.0082021548820923,2.9091409524540195,2.7094981117560963,10.77939517711845,0.29998779296875,0.1154485587041654,0.00142378150485456,-55.01744,-52.96705,-56.621513,-55.42704,-56.226532,-56.350117,-57.35377,-56.191673,-58.884304,-59.412502,-61.103725,-59.79485,-60.427063,-61.46144,-62.5402,-62.96411,-63.286095,-62.465786,-62.051247,-63.5215,-63.072296,-62.623993,-61.55302,-60.184566,-60.768665,-61.286385,-61.97962,-62.562244,-63.79868,-65.0896,-64.91348,-65.19032,-66.97825,-66.6213,-67.69225,-68.25844,-67.664,-68.44256,-69.42684,-71.929955,18.431904,22.675667,20.29061,24.051756,20.903309,22.230345,19.524542,21.708458,19.562607,18.729538,16.538412,19.293554,17.476494,16.598492,15.140344,16.228344,14.8511505,14.944895,15.651305,14.447003,15.731162,16.279142,17.433447,19.60543,20.626095,20.144135,20.257416,19.380396,17.113031,15.36215,15.526123,15.608747,13.738269,12.390774,11.214411,10.907984,11.662904,11.451883,9.125161,7.603696,0.59992355,0.741975,0.798656,0.6930965,0.59082955,0.6541455,0.6597893,0.6327768,0.63288015,0.65038306,0.59148306,0.5618166,wake,dataset\wake\Abdurrahman_Saracoglu_Wake_1.wav
-674.2941,41.996662,-5.3273096,23.350544,-0.29754317,-7.9237623,-1.2709975,2.2214258,-4.3509274,-2.8199852,-2.2496626,-1.4233752,-4.035554,177.8414,27.94598,15.446781,27.896946,6.370736,16.792831,3.9747906,4.471574,7.5252633,7.6349287,4.682562,4.1460214,5.3359575,16.578283,2.0736651,-0.41952485,2.7794433,-0.57178485,-0.9812865,-0.050020278,-0.20891969,-0.7206068,-0.8211855,-0.48567307,-0.35362113,-0.5009749,-2.487625,-0.17328368,0.29968742,-0.052207224,0.15959966,0.31444228,0.15544678,-0.037473436,0.08858682,-0.02458708,0.12479207,-0.008443641,-0.13987392,11.154795,1.7513627,1.277852,1.0922388,0.7513965,1.1298923,0.4788726,0.41662806,0.5149552,0.34841305,0.57846355,0.2583274,0.39827123,21.041618589905326,12.541074455667971,14.915287537116889,15.021723743020958,14.730840664147381,15.647676384529248,14.496587406996934,10.168361305464968,5.783675843399616,6.274064531455068,4.036275425422338,3.0599299058913014,3.9044925327625757,2.518584231897869,0.2814483642578125,0.131642453063531,0.0023487317375838757,-48.951164,-47.57442,-50.38907,-51.111732,-52.439816,-52.42032,-53.019363,-54.934334,-55.286438,-57.09272,-56.155876,-58.242874,-58.14798,-59.404736,-59.62944,-60.638725,-59.94307,-60.38302,-60.239094,-59.42762,-59.073982,-57.36341,-56.790413,-55.98957,-57.03611,-57.65836,-58.51877,-59.84425,-61.037567,-60.500984,-62.433205,-63.997776,-64.039825,-65.54919,-65.25537,-65.0402,-65.677444,-68.19237,-67.86778,-67.675026,22.81893,25.756676,23.796595,24.404575,23.578482,22.96038,21.801687,20.504105,20.458317,17.267141,19.117565,16.543558,17.09538,16.47952,16.528185,14.158177,14.16925,14.400729,15.77966,16.21754,17.170206,18.921724,21.437418,22.385918,21.540668,20.97287,19.989254,18.500721,16.694757,17.160877,16.683767,13.620021,12.969305,10.975769,11.562492,12.182371,10.919757,8.168012,8.924785,9.542537,0.7888525,0.77524966,0.61786515,0.57371646,0.6086782,0.57578886,0.61422294,0.67244655,0.6711716,0.6299237,0.6371046,0.665231,wake,dataset\wake\Abdurrahman_Saracoglu_Wake_1.wav
-411.8115,73.21123,-2.019173,33.09556,8.01704,-9.920149,-3.1354122,-4.4873986,4.666959,1.5141712,3.1352022,9.570428,2.2713342,161.31233,36.86036,16.261229,36.180126,8.106895,18.83949,7.950493,13.631386,4.3927684,13.05657,9.401567,4.6528854,3.493842,9.798529,3.0685458,0.6308274,1.06394,0.2058016,0.20001845,-0.04153131,0.0015217662,-0.23279417,-0.095936365,-0.12986322,-0.1148905,-0.19534607,-0.06278956,0.40717578,-0.07135384,-0.2830564,0.19964637,0.21794946,-0.030880272,0.15691108,-0.0598825,0.2559746,0.09539033,0.11163572,0.12821114,7.5916543,2.3474765,1.9485998,2.2623346,0.7134964,1.7638377,0.9683118,1.3506372,0.4051128,0.9638606,0.762398,0.6609445,0.42292506,22.343549694617305,14.967699694820306,19.75000917805175,14.242624673079591,15.798774930477437,18.477587334914354,16.38611654459752,4.222327400177115,6.120837007113089,6.004879328254381,2.4578919972036015,3.0045145933592434,5.502006880149459,1.9476035165299441,0.0501708984375,0.038869763772971425,0.027771789580583572,-14.667002,-22.451668,-23.45198,-24.681818,-25.829994,-23.768501,-21.57288,-28.397976,-29.095154,-32.05487,-34.975246,-36.9396,-37.047157,-37.23239,-38.06951,-37.04443,-36.680477,-37.15368,-36.572235,-34.749508,-33.487114,-33.82704,-34.20207,-35.10369,-35.051346,-36.826576,-38.539917,-38.982414,-37.320652,-38.204445,-41.83367,-44.148743,-44.94942,-48.18313,-47.445793,-47.441887,-48.48711,-48.400436,-47.67651,-47.12899,18.830408,25.60321,26.70531,24.029812,25.161272,24.782911,23.289064,19.799973,16.28325,15.164362,14.685114,13.375682,13.912394,14.498197,13.699857,13.065954,13.139727,14.59912,15.937098,18.233692,19.977314,20.543413,19.214945,18.979992,18.857895,18.391264,17.039621,16.987669,18.671097,18.034058,15.059894,11.885469,11.08497,8.371932,8.97529,9.020399,8.04825,7.884327,8.550374,10.129639,0.7010543,0.3223182,0.29755634,0.44365776,0.46055335,0.38097283,0.28530675,0.30263522,0.5434793,0.6036513,0.37923554,0.5099769,wake,dataset\wake\AhmetHakan_Yilmaz_wake_1.wav
