mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,label,file_path
-295.26154,114.664276,23.884249,31.672272,-14.181585,-12.545695,-11.293991,-7.1474285,-9.290764,-8.854505,-3.675753,-3.053553,-2.126982,120.32485,48.35696,35.38132,34.27131,34.26289,18.863735,16.711428,12.809691,12.566054,13.672797,11.516456,6.592365,9.094812,14.421785,-0.14788839,-0.54948187,-1.012406,-1.4475825,-1.7867924,-1.7596729,-0.77625614,-0.99218243,-0.5157886,-0.5951092,-0.078838825,-0.023994237,wake,dataset\wake\Abdulhakim_Sanli_wake.wav
-302.46225,121.60435,22.022127,22.62956,-26.859207,-12.615648,-13.698725,-8.362688,-12.749216,-5.6359935,-5.5946684,-2.2155113,-3.4673965,105.77978,37.52308,40.877674,36.640705,32.810596,26.078104,13.242678,11.800483,12.161842,8.936265,9.328765,10.109685,8.002374,11.799784,-1.6353604,-0.46940264,-1.7887803,-2.2667327,-2.6608593,-1.6874976,-0.79617274,-0.60633564,-0.022393558,-0.31321523,0.68845344,0.077104226,wake,dataset\wake\Abdulhakim_Sanli_wake.wav
-312.7403,123.89015,25.339079,31.08624,-16.857353,-16.800743,-14.722227,-6.976333,-9.40133,-7.158909,-3.7250047,-3.2463145,-0.3886341,107.426056,42.192375,36.539562,31.46781,32.39603,19.006325,19.152695,11.899579,11.648344,11.5611,11.844076,5.069977,10.57669,10.125931,1.1272023,-1.7140033,-0.74102116,-2.0009973,-2.2197275,-2.0235837,-0.6410757,-0.33225653,-0.2171435,0.08642072,-0.22456488,0.66073406,wake,dataset\wake\Abdulhakim_Sanli_wake.wav
-640.43286,26.1786,7.9223337,19.71501,7.223734,-0.16475046,0.48212767,5.39525,3.5576293,-1.0857861,6.061492,0.26349643,1.3781409,173.00153,33.249603,7.859747,23.367151,5.425979,11.351849,9.538251,4.560344,4.209048,7.873294,7.6574717,3.8883927,3.3668673,19.670525,2.9409003,0.054348253,2.4298267,-0.18603095,-1.223422,-0.9522201,0.008243009,-0.19489343,-0.83712846,0.85445577,-0.27004853,0.25607377,wake,dataset\wake\Abdulsamet_Kir_wake_1.wav
-690.2348,35.412277,12.732025,25.746737,2.5812988,-0.35674047,0.84260076,9.316943,-0.2521186,4.147486,4.2839684,-1.1646366,-0.47743046,187.10777,30.988033,7.5037684,24.805641,11.902829,12.307588,10.769892,6.6389275,8.352845,2.9754825,5.600748,3.709211,2.7383912,19.233068,1.6276454,-0.18021113,2.2322495,-1.35566,-1.0321149,-1.1650422,0.40418887,-0.88544405,0.30167893,0.42556375,-0.0811983,0.016670642,wake,dataset\wake\Abdulsamet_Kir_wake_1.wav
-646.3043,37.23742,11.9563465,28.824337,9.46449,-1.3316052,-1.9260107,5.209523,4.8520737,-1.4261212,7.544758,-0.20605293,2.3954082,186.42793,32.474995,7.207809,25.522644,5.2323165,13.21873,12.045533,3.8345509,3.3222752,7.714673,7.990699,5.357267,2.9740224,12.767885,1.4521122,0.37061453,1.6892014,0.09274042,-0.40273118,-0.61117053,-0.1132852,-0.05817256,-0.36368692,0.3032079,-0.4817316,0.12280853,wake,dataset\wake\Abdulsamet_Kir_wake_1.wav
-676.3034,39.157486,-2.270728,16.177425,2.0418267,-3.5316577,-1.6803205,1.9146643,-2.634649,-1.237062,-1.1696906,-0.23361132,-3.8450692,173.21153,28.89174,14.7053585,23.024986,4.3846507,14.036659,4.3485794,4.0558825,6.357826,4.593128,3.4747279,3.292562,4.537453,20.677803,3.0706162,-1.2315316,2.8513646,-0.22613029,-1.5145853,-0.23582217,0.040657606,-0.6586538,-0.5282465,-0.23693152,-0.07466267,-0.403723,wake,dataset\wake\Abdurrahman_Saracoglu_Wake_1.wav
-706.191,38.957115,-3.289816,17.912218,-4.7522197,-4.1418214,-1.6658001,1.5889208,-6.658861,-0.03602633,-1.8274531,-0.7963773,-4.198781,171.76614,27.4467,12.640032,22.91991,13.472277,12.422381,3.8384993,4.941529,9.627934,3.585393,4.201356,4.2549777,6.5934815,20.39561,2.9229965,-0.9572207,2.716619,-1.5304191,-1.0501219,-0.077404566,-0.2740969,-1.1362832,-0.16661356,-0.31078064,-0.26043093,-0.5425705,wake,dataset\wake\Abdurrahman_Saracoglu_Wake_1.wav
-674.2941,41.996662,-5.3273096,23.350544,-0.29754317,-7.9237623,-1.2709975,2.2214258,-4.3509274,-2.8199852,-2.2496626,-1.4233752,-4.035554,177.8414,27.94598,15.446781,27.896946,6.370736,16.792831,3.9747906,4.471574,7.5252633,7.6349287,4.682562,4.1460214,5.3359575,16.578283,2.0736651,-0.41952485,2.7794433,-0.57178485,-0.9812865,-0.050020278,-0.20891969,-0.7206068,-0.8211855,-0.48567307,-0.35362113,-0.5009749,wake,dataset\wake\Abdurrahman_Saracoglu_Wake_1.wav
-411.8115,73.21123,-2.019173,33.09556,8.01704,-9.920149,-3.1354122,-4.4873986,4.666959,1.5141712,3.1352022,9.570428,2.2713342,161.31233,36.86036,16.261229,36.180126,8.106895,18.83949,7.950493,13.631386,4.3927684,13.05657,9.401567,4.6528854,3.493842,9.798529,3.0685458,0.6308274,1.06394,0.2058016,0.20001845,-0.04153131,0.0015217662,-0.23279417,-0.095936365,-0.12986322,-0.1148905,-0.19534607,wake,dataset\wake\AhmetHakan_Yilmaz_wake_1.wav
